Tornado Number per Year,Year,Month,Day,Date,Time,TimeZone,State,State FIPS Number,Number of Tornado per State per Year,Magnitude,Injuries,Fatalities,Property Loss ($),Crop Loss (millions $),Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Length (miles),Width (yards),fc,Zip Code
432103,2013,1,30,1/30/2013,2:59:00,3,TN,47,0,2,0,0,0.75,0.25,36.44,-86.91,36.47,-86.83,4.97,200,0,37172
428695,2013,1,30,1/30/2013,3:00:00,3,TN,47,0,0,0,0,0.01,0.01,36.33,-86.92,36.34,-86.82,5.55,50,0,37080
428694,2013,1,30,1/30/2013,3:01:00,3,TN,47,0,0,0,0,0.06,0.01,35.88,-87.12,35.89,-87.11,0.92,75,0,37064
421962,2013,1,30,1/30/2013,3:05:00,3,KY,21,0,0,0,0,0.05,0.0,37.94,-86.1,37.95,-86.09,1.0,200,0,40108
428690,2013,1,30,1/30/2013,3:05:00,3,TN,47,0,1,0,0,0.25,0.1,36.48,-86.81,36.49,-86.71,5.75,150,0,37073
428685,2013,1,30,1/30/2013,3:10:00,3,TN,47,0,0,0,0,0.19,0.05,36.36,-86.77,36.41,-86.57,11.65,75,0,37072
428683,2013,1,30,1/30/2013,3:12:00,3,TN,47,0,0,1,0,0.15,0.01,36.21,-86.77,36.22,-86.71,3.2,75,0,37207
432079,2013,1,30,1/30/2013,3:12:00,3,TN,47,0,1,1,0,0.77,0.12,36.51,-86.72,36.54,-86.61,5.98,100,0,37188
421949,2013,1,30,1/30/2013,3:17:00,3,IN,18,0,0,0,0,0.12,0.0,38.13,-85.91,38.14,-85.87,2.67,215,0,47117
428679,2013,1,30,1/30/2013,3:18:00,3,TN,47,0,0,0,0,0.1,0.01,35.93,-86.86,35.93,-86.83,2.0,75,0,37064
428678,2013,1,30,1/30/2013,3:23:00,3,TN,47,0,0,0,0,0.23,0.04,36.33,-86.55,36.38,-86.36,10.61,125,0,37075
428677,2013,1,30,1/30/2013,3:25:00,3,TN,47,0,2,0,0,1.0,0.1,36.22,-86.55,36.25,-86.47,4.53,150,0,37122
428676,2013,1,30,1/30/2013,3:34:00,3,TN,47,0,0,0,0,0.07,0.03,36.4,-86.34,36.41,-86.28,3.63,100,0,37031
428674,2013,1,30,1/30/2013,3:37:00,3,TN,47,0,0,0,0,0.04,0.04,36.46,-86.34,36.47,-86.23,5.84,50,0,37022
421959,2013,1,30,1/30/2013,3:38:00,3,KY,21,0,2,0,0,0.4,0.0,37.03,-86.24,37.05,-86.19,2.96,250,0,42159
428954,2013,1,30,1/30/2013,3:40:00,3,TN,47,0,1,0,0,1.04,0.22,36.28,-86.33,36.34,-86.17,10.03,150,0,37087
428672,2013,1,30,1/30/2013,3:41:00,3,TN,47,0,1,0,0,0.53,0.12,35.74,-86.7,35.76,-86.62,4.59,150,0,37060
422000,2013,1,30,1/30/2013,3:42:00,3,KY,21,0,1,0,0,0.08,0.0,37.07,-86.14,37.09,-86.1,2.77,100,0,42171
428671,2013,1,30,1/30/2013,3:47:00,3,TN,47,0,0,0,0,0.09,0.04,36.49,-86.15,36.5,-86.14,0.97,50,0,37083
422025,2013,1,30,1/30/2013,3:49:00,3,KY,21,0,1,0,0,0.0,0.0,36.94,-86.06,36.95,-86.05,0.34,50,0,42141
428670,2013,1,30,1/30/2013,4:01:00,3,TN,47,0,0,0,0,0.17,0.07,36.55,-85.92,36.56,-85.9,1.53,75,0,37083
434815,2013,1,30,1/30/2013,4:25:00,3,MS,28,0,1,0,0,0.05,0.0,33.84,-88.35,33.89,-88.17,10.82,300,0,39730
428669,2013,1,30,1/30/2013,4:29:00,3,TN,47,0,0,0,0,0.07,0.07,35.84,-86.08,35.87,-85.96,6.65,200,0,37190
421958,2013,1,30,1/30/2013,4:44:00,3,KY,21,0,0,2,0,0.03,0.0,37.44,-85.27,37.44,-85.27,0.12,50,0,42718
423532,2013,1,30,1/30/2013,4:46:00,3,TN,47,0,1,0,0,0.0,0.0,35.1,-86.78,35.13,-86.7,5.28,250,0,38449
431306,2013,1,30,1/30/2013,5:18:00,3,AL,1,0,1,0,0,0.0,0.0,33.73,-87.9,33.75,-87.8,6.5,500,0,35555
428668,2013,1,30,1/30/2013,5:26:00,3,TN,47,0,0,0,0,0.05,0.01,35.49,-86.08,35.5,-86.0,4.57,75,0,37355
430757,2013,1,30,1/30/2013,5:30:00,3,KY,21,0,0,0,0,0.01,0.0,37.06,-84.61,37.07,-84.6,0.5,150,0,42501
432130,2013,1,30,1/30/2013,5:42:00,3,AL,1,0,0,0,0,0.0,0.0,33.93,-87.5,33.96,-87.42,4.9,200,0,35578
432140,2013,1,30,1/30/2013,5:50:00,3,AL,1,0,1,0,0,0.0,0.0,34.06,-87.37,34.11,-87.2,10.39,1000,0,35553
432143,2013,1,30,1/30/2013,6:01:00,3,AL,1,0,1,0,0,0.05,0.0,34.21,-87.18,34.24,-87.07,6.42,300,0,35540
428260,2013,1,30,1/30/2013,10:12:00,3,GA,13,0,3,17,1,75.0,0.0,34.34,-84.95,34.6,-84.73,21.78,900,0,30103
428268,2013,1,30,1/30/2013,11:05:00,3,GA,13,0,1,0,0,0.18,0.0,34.82,-84.43,34.95,-84.29,11.77,900,0,30540
422661,2013,1,30,1/30/2013,17:09:00,3,GA,13,0,0,0,0,0.01,0.0,31.31,-84.35,31.32,-84.33,1.19,25,0,39870
422667,2013,1,30,1/30/2013,17:12:00,3,GA,13,0,0,0,0,0.0,0.0,31.64,-84.16,31.65,-84.14,1.51,25,0,31763
437484,2013,2,10,2/10/2013,9:15:00,3,TX,48,0,0,1,0,0.05,0.0,30.71,-94.87,30.71,-94.86,0.51,30,0,77351
